2025-12-18 16:26:48 status installed libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-12-18 16:26:48 configure lftp:amd64 4.9.2-2ubuntu1.1 <none>
2025-12-18 16:26:48 status unpacked lftp:amd64 4.9.2-2ubuntu1.1
2025-12-18 16:26:48 status half-configured lftp:amd64 4.9.2-2ubuntu1.1
2025-12-18 16:26:48 status installed lftp:amd64 4.9.2-2ubuntu1.1
2025-12-18 16:26:48 configure krb5-locales:all 1.20.1-6ubuntu2.6 <none>
2025-12-18 16:26:48 status unpacked krb5-locales:all 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 status half-configured krb5-locales:all 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 status installed krb5-locales:all 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 configure libkrb5support0:amd64 1.20.1-6ubuntu2.6 <none>
2025-12-18 16:26:48 status unpacked libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 status half-configured libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 status installed libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 configure libx11-data:all 2:1.8.7-1build1 <none>
2025-12-18 16:26:48 status unpacked libx11-data:all 2:1.8.7-1build1
2025-12-18 16:26:48 status half-configured libx11-data:all 2:1.8.7-1build1
2025-12-18 16:26:48 status installed libx11-data:all 2:1.8.7-1build1
2025-12-18 16:26:48 configure libk5crypto3:amd64 1.20.1-6ubuntu2.6 <none>
2025-12-18 16:26:48 status unpacked libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 status half-configured libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 status installed libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 configure libx11-6:amd64 2:1.8.7-1build1 <none>
2025-12-18 16:26:48 status unpacked libx11-6:amd64 2:1.8.7-1build1
2025-12-18 16:26:48 status half-configured libx11-6:amd64 2:1.8.7-1build1
2025-12-18 16:26:48 status installed libx11-6:amd64 2:1.8.7-1build1
2025-12-18 16:26:48 configure libkrb5-3:amd64 1.20.1-6ubuntu2.6 <none>
2025-12-18 16:26:48 status unpacked libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:49 status half-configured libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:49 status installed libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:49 configure libfido2-1:amd64 1.14.0-1build3 <none>
2025-12-18 16:26:49 status unpacked libfido2-1:amd64 1.14.0-1build3
2025-12-18 16:26:49 status half-configured libfido2-1:amd64 1.14.0-1build3
2025-12-18 16:26:49 status installed libfido2-1:amd64 1.14.0-1build3
2025-12-18 16:26:49 configure libxmuu1:amd64 2:1.1.3-3build2 <none>
2025-12-18 16:26:49 status unpacked libxmuu1:amd64 2:1.1.3-3build2
2025-12-18 16:26:49 status half-configured libxmuu1:amd64 2:1.1.3-3build2
2025-12-18 16:26:49 status installed libxmuu1:amd64 2:1.1.3-3build2
2025-12-18 16:26:49 configure libxext6:amd64 2:1.3.4-1build2 <none>
2025-12-18 16:26:49 status unpacked libxext6:amd64 2:1.3.4-1build2
2025-12-18 16:26:49 status half-configured libxext6:amd64 2:1.3.4-1build2
2025-12-18 16:26:49 status installed libxext6:amd64 2:1.3.4-1build2
2025-12-18 16:26:49 configure libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6 <none>
2025-12-18 16:26:49 status unpacked libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:49 status half-configured libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:49 status installed libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:49 configure xauth:amd64 1:1.1.2-1build1 <none>
2025-12-18 16:26:49 status unpacked xauth:amd64 1:1.1.2-1build1
2025-12-18 16:26:49 status half-configured xauth:amd64 1:1.1.2-1build1
2025-12-18 16:26:49 status installed xauth:amd64 1:1.1.2-1build1
2025-12-18 16:26:49 configure openssh-client:amd64 1:9.6p1-3ubuntu13.14 <none>
2025-12-18 16:26:49 status unpacked openssh-client:amd64 1:9.6p1-3ubuntu13.14
2025-12-18 16:26:49 status half-configured openssh-client:amd64 1:9.6p1-3ubuntu13.14
2025-12-18 16:26:49 status installed openssh-client:amd64 1:9.6p1-3ubuntu13.14
2025-12-18 16:26:49 trigproc libc-bin:amd64 2.39-0ubuntu8.6 <none>
2025-12-18 16:26:49 status half-configured libc-bin:amd64 2.39-0ubuntu8.6
2025-12-18 16:26:49 status installed libc-bin:amd64 2.39-0ubuntu8.6
